SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,21 NE Schooner Ct,Belfair,WA,98528,315000,3,2.25,Belfair,1440,10018,2019,6,219,26,Active,,,http://www.redfin.com/WA/Belfair/21-NE-Schooner-Loop-98528/home/144635526,NWMLS,1519756,N,Y,47.453885,-122.853133
MLS Listing,,Condo/Co-op,3213 Harbor Ave SW #205,Seattle,WA,98126,395000,2,2.0,Alki,982,22032,2007,6,402,567,Active,,,http://www.redfin.com/WA/Seattle/3213-Harbor-Ave-SW-98126/unit-205/home/12092620,NWMLS,1519385,N,Y,47.5752689,-122.3713245
MLS Listing,,Single Family Residential,14511 SE 252nd Pl,Kent,WA,98042,482500,3,2.25,Lake Meridian,1650,7200,1979,6,292,,Active,,,http://www.redfin.com/WA/Kent/14511-SE-252-Pl-98042/home/400252,NWMLS,1519151,N,Y,47.3754463,-122.1477599
MLS Listing,,Vacant Land,23770 NE State Route 3,Belfair,WA,98528,189000,0,,Belfair,,37026,,6,,,Active,,,http://www.redfin.com/WA/Belfair/23770-Washington-3-98528/home/169076138,NWMLS,1519832,N,Y,47.451091,-122.8263909
MLS Listing,,Single Family Residential,14327 Evanston Ave N,Seattle,WA,98133,475000,2,1.0,Bitter Lake,780,7560,1950,6,609,,Active,September-22-2019 02:00 PM,September-22-2019 05:00 PM,http://www.redfin.com/WA/Seattle/14327-Evanston-Ave-N-98133/home/102207,NWMLS,1517225,N,Y,47.7331586,-122.3520337
MLS Listing,,Condo/Co-op,14615 NE 40th St Unit J-3,Bellevue,WA,98007,464500,3,1.75,Microsoft,1320,124682,1973,6,352,642,Active,,,http://www.redfin.com/WA/Bellevue/14615-NE-40th-St-98007/unit-J3/home/27665,NWMLS,1519822,N,Y,47.6453693,-122.1453672
MLS Listing,,Condo/Co-op,5828 S 234th Pl,Kent,WA,98032,224950,1,1.0,The Lakes,801,,1997,6,281,285,Active,,,http://www.redfin.com/WA/Kent/5828-S-234th-Pl-98032/home/17076025,NWMLS,1519014,N,Y,47.3918011,-122.2611388
MLS Listing,,Single Family Residential,91 E Blue Heron Rst,Belfair,WA,98528,299000,2,1.75,Belfair,1412,94090,1989,6,212,,Active,,,http://www.redfin.com/WA/Belfair/91-E-Blue-Heron-Rst-98528/home/16736201,NWMLS,1504350,N,Y,47.41173,-122.8669559
MLS Listing,,Single Family Residential,803 Cogean Ave,Bremerton,WA,98337,222000,2,1.0,Bremerton,636,3049,1901,6,349,,Active,,,http://www.redfin.com/WA/Bremerton/803-Cogean-Ave-98337/home/2314822,NWMLS,1519626,N,Y,47.5686686,-122.6283011
MLS Listing,,Vacant Land,20710 NE Inglewood Hill Rd,Sammamish,WA,98074,393980,0,,Inglewood,,18500,,7,,,Active,,,http://www.redfin.com/WA/Sammamish/20710-NE-Inglewood-Hill-Rd-98074/home/21867523,NWMLS,1519643,N,Y,47.6212753,-122.0643312
MLS Listing,,Single Family Residential,3683 SE Ardenwald Pl,Port Orchard,WA,98366,314950,3,1.5,Port Orchard,1362,10454,1980,7,231,,Active,,,http://www.redfin.com/WA/Port-Orchard/3683-SE-Ardenwald-Pl-98366/home/2424611,NWMLS,1507364,N,Y,47.5202662,-122.6033994
MLS Listing,,Condo/Co-op,15142 65th Ave S #402,Tukwila,WA,98188,159990,2,1.0,Southcenter,913,,1968,7,175,450,Active,,,http://www.redfin.com/WA/Tukwila/15142-65th-Ave-S-98188/unit-402/home/37184,NWMLS,1519625,N,Y,47.4661131,-122.2521415
MLS Listing,,Single Family Residential,4625 Keppel Lp SW,Port Orchard,WA,98367,480490,3,2.25,McCormick,2767,5000,2019,7,174,60,Active,,,http://www.redfin.com/WA/Port-Orchard/4625-S-Saint-W-98366/home/169058403,NWMLS,1519632,N,Y,47.506509,-122.675396
MLS Listing,,Single Family Residential,4635 Keppel Lp SW,Port Orchard,WA,98367,452490,3,2.25,McCormick,2364,5000,2019,7,191,60,Active,,,http://www.redfin.com/WA/Port-Orchard/4635-S-Saint-W-98366/home/147492596,NWMLS,1519628,N,Y,47.5065,-122.675
