sale_type,property_type,address,city,state,zip,price,beds,baths,location,square_feet,lot_size,year_built,days_on_market,cost_per_square_foot,payment_hoa,status,next_open_house_start_time,next_open_house_end_time,url,source,mls,latitude,longitude,time_commute_joe,time_commute_kira,time_downtown,time_hiking,time_airport,time_commute,payment_loan,payment_pmi,payment_taxes,payment_maint,payment_hoi,payment_total,beds_score,baths_score,payment_score,square_feet_score,time_commute_score,time_downtown_score,time_hiking_score,time_airport_score,total_score
MLS Listing,Single Family Residential,232 SW 164th Pl,Normandy Park,WA,98166,375000,2,1,Normandy Park,1090,13448,1949,87,344,0,Active,NA,NA,http://www.redfin.com/WA/Normandy-Park/232-SW-164th-Pl-98166/home/167145438,NWMLS,1480482,47.4554642,-122.3369633,17.3,11.91666667,21.58333333,32.78333333,8.2,17.3,1505.125673,135.4166667,390.625,312.5,93.75,2437.417339,1,0,0.936,2,3.586,0.886,0.384,0.5,9.292
MLS Listing,Condo/Co-op,9398 Redmond-Woodinville Rd NE Unit E128,Redmond,WA,98052,345000,2,1.5,Redmond,933,218230,1979,89,370,451,Active,NA,NA,http://www.redfin.com/WA/Redmond/9398-Redmond-Woodinville-Rd-NE-98052/unit-E128/home/103960839,NWMLS,1480874,47.6849164,-122.1231722,26.76666667,31.61666667,23.56666667,31.86666667,31.98333333,31.61666667,1366.190995,122.9166667,359.375,287.5,86.25,2673.232662,1,0.5,0.334,1.865,1.278,0.812,0.399,0.397,6.585
MLS Listing,Townhouse,14347 Stone Ave N Unit A,Seattle,WA,98133,439950,3,2,Haller Lake,1290,1352,2003,94,341,0,Active,NA,NA,http://www.redfin.com/WA/Seattle/14347-Stone-Ave-N-98133/unit-A/home/102840,NWMLS,1476403,47.7336617,-122.3428195,30.61666667,27.33333333,13.71666667,36.25,26.98333333,30.61666667,1805.919249,162.4791667,458.28125,366.625,109.9875,2903.292166,2,1,0.03,2,1.448,1,0.323,0.463,8.264
MLS Listing,Condo/Co-op,1175 Harrington Pl NE #107,Renton,WA,98056,235000,2,1,Renton,946,32615,1982,101,248,416,Active,NA,NA,http://www.redfin.com/WA/Renton/1175-Harrington-Pl-NE-98056/unit-107/home/21050,NWMLS,1474854,47.5026788,-122.1809292,7.483333333,12.86666667,21.85,19.66666667,13.23333333,12.86666667,856.7638444,0,244.7916667,195.8333333,58.75,1772.138844,1,0,3.184,1.911,3.934,0.877,0.5,0.5,11.906
MLS Listing,Townhouse,16101 Bothell-Everett Hwy Unit K2,Mill Creek,WA,98012,298000,2,2.5,Mill Creek,1180,264945,1990,102,253,429,Active,NA,NA,http://www.redfin.com/WA/Mill-Creek/16101-Bothell-Everett-Hwy-98012/unit-K2/home/12177002,NWMLS,1472596,47.8515384,-122.2167178,39.11666667,43.96666667,29.8,44.21666667,44.31666667,43.96666667,1148.526667,103.3333333,310.4166667,248.3333333,74.5,2314.11,1,1,1.334,2,0.009,0.51,0.169,0.167,6.189
MLS Listing,Condo/Co-op,217 Alder St #103,Edmonds,WA,98020,375000,2,1.75,Edmonds,1120,20299,1977,122,335,314,Active,NA,NA,http://www.redfin.com/WA/Edmonds/217-Alder-St-98020/unit-103/home/2777262,NWMLS,1461750,47.8086692,-122.381331,41.6,38.33333333,24.7,47.23333333,37.98333333,41.6,1505.125673,135.4166667,390.625,312.5,93.75,2751.417339,1,0.854,0.196,2,0.092,0.763,0.115,0.289,5.309
MLS Listing,Condo/Co-op,1024 5th Ave S Unit C101,Edmonds,WA,98020,394800,2,1.75,Edmonds,1011,1307,1983,142,391,372,Active,NA,NA,http://www.redfin.com/WA/Edmonds/1024-5th-Ave-S-98020/unit-C101/home/2818043,NWMLS,1446787,47.8023201,-122.3782294,39.66666667,36.4,22.76666667,45.3,36.05,39.66666667,1596.82256,143.6666667,411.25,329,98.7,2951.439226,1,0.854,0.008,2,0.225,0.844,0.149,0.326,5.406
MLS Listing,Single Family Residential,24303 22nd Pl S,Des Moines,WA,98198,315000,3,2,Des Moines,1260,7500,1980,1,250,0,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/24303-22nd-Pl-S-98198/home/203244,NWMLS,1522564,47.3840071,-122.3051558,20.16666667,14.78333333,25.73333333,35.63333333,17.08333333,20.16666667,1227.256318,110.4166667,328.125,262.5,78.75,2007.047984,2,1,2.42,2,3.223,0.716,0.334,0.5,12.193
MLS Listing,Townhouse,5403 S 234th St Unit 5-3,Kent,WA,98032,327000,3,2.5,The Lakes,1394,253968,1996,1,235,360,Active,September-22-2019 04:00 PM,September-22-2019 06:00 PM,http://www.redfin.com/WA/Kent/5403-S-234th-St-98032/unit-5-3/home/56786,NWMLS,1522577,47.3927147,-122.2660158,19.98333333,14.4,25.56666667,35.46666667,19.15,19.98333333,1282.830189,115.4166667,340.625,272.5,81.75,2453.121855,2,1,0.889,2,3.249,0.724,0.337,0.5,10.699
MLS Listing,Single Family Residential,1216 S 236th Pl,Des Moines,WA,98198,445250,4,2.5,Des Moines,2240,7044,1985,1,199,0,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/1216-S-236th-Pl-98198/home/202077,NWMLS,1522558,47.3901789,-122.3182971,22.11666667,16.73333333,27.7,37.6,18.58333333,22.11666667,1830.464376,164.6875,463.8020833,371.0416667,111.3125,2941.308126,2,1,0.011,2,2.929,0.619,0.297,0.5,9.356
MLS Listing,Single Family Residential,3624 NE 10th St,Renton,WA,98056,369000,3,1.75,Highlands,1710,5228,1957,1,216,0,Active,NA,NA,http://www.redfin.com/WA/Renton/3624-NE-10th-St-98056/home/243093,NWMLS,1522523,47.4987185,-122.1702177,9.05,14.26666667,23.26666667,18.2,14.63333333,14.26666667,1477.338737,132.9166667,384.375,307.5,92.25,2394.380404,2,0.854,1.07,2,3.855,0.824,0.5,0.5,11.603
MLS Listing,Condo/Co-op,1208 S 216th St Unit 101C,Des Moines,WA,98198,159950,1,1,Downtown Des Moines,682,0,1985,1,235,200,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/1208-S-216th-St-98198/unit-101C/home/27782,NWMLS,1522302,47.409247,-122.317922,19.61666667,14.23333333,25.2,35.1,14.16666667,19.61666667,509.1955929,0,166.6145833,133.2916667,39.9875,1049.089343,0,0,4,0.2,3.3,0.741,0.344,0.5,9.085
MLS Listing,Condo/Co-op,300 N 130th Unit 1-205,Seattle,WA,98133,300000,1,1,Bitter Lake,707,0,1988,1,424,370,Active,NA,NA,http://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-1205/home/12538742,NWMLS,1522443,47.7237869,-122.3537358,33.03333333,29.76666667,16.13333333,38.66666667,29.41666667,33.03333333,1157.788979,104.1666667,312.5,250,75,2269.455646,0,0,1.487,0.333,1.047,0.996,0.276,0.435,4.574
MLS Listing,Condo/Co-op,1740 NE 86th St #306,Seattle,WA,98115,278998,1,1,Lake City,646,40144,1982,2,432,335,Active,NA,NA,http://www.redfin.com/WA/Seattle/1740-NE-86th-St-98115/unit-306/home/39882,NWMLS,1520547,47.6915107,-122.3073958,27.83333333,23.55,10.93333333,33.46666667,23.2,27.83333333,1060.525442,95.41583333,290.6229167,232.4983333,69.7495,2083.812026,0,0,2.148,0.065,1.94,1,0.373,0.492,6.018
MLS Listing,Condo/Co-op,9024 25th Ave SW Unit G202,Seattle,WA,98106,379800,2,1.75,Westwood,1016,0,1979,2,374,375,Active,September-22-2019 03:00 PM,September-22-2019 06:00 PM,http://www.redfin.com/WA/Seattle/9024-25th-Ave-SW-98106/unit-202G/home/24549,NWMLS,1522413,47.5217565,-122.3642324,24.35,18.96666667,19.8,38.15,16.18333333,24.35,1527.355221,137.4166667,395.625,316.5,94.95,2846.846888,1,0.854,0.075,2,2.558,0.938,0.286,0.5,8.211
MLS Listing,Condo/Co-op,715 Harrington Pl SE #3140,Renton,WA,98058,277000,2,1.75,Rolling Hills,970,0,2004,2,286,205,Active,NA,NA,http://www.redfin.com/WA/Renton/715-Harrington-Pl-SE-98058/unit-3140/home/2082080,NWMLS,1521915,47.4734423,-122.1808441,13.51666667,15.4,28.7,29.15,17.51666667,15.4,1051.272393,94.58333333,288.5416667,230.8333333,69.25,1939.480726,1,0.854,2.654,1.972,3.77,0.568,0.438,0.5,11.756
MLS Listing,Single Family Residential,13250 4th Ave SW,Burien,WA,98146,365000,4,1.75,Hazel Valley,1560,7200,1953,2,234,0,Active,NA,NA,http://www.redfin.com/WA/Burien/13250-4th-Ave-SW-98146/home/184072,NWMLS,1520806,47.4833905,-122.3388887,18.05,12.66666667,20.05,33.53333333,8.95,18.05,1458.814113,131.25,380.2083333,304.1666667,91.25,2365.689113,2,0.854,1.162,2,3.5,0.932,0.372,0.5,11.32
MLS Listing,Condo/Co-op,1840 25TH Ave NE Unit S206,Issaquah,WA,98029,398950,1,1,Issaquah Highlands,743,62541,2007,2,537,384,Active,NA,NA,http://www.redfin.com/WA/Issaquah/1840-25th-Ave-NE-98029/unit-S206/home/103955882,NWMLS,1513928,47.5474679,-121.997497,24.26666667,29.11666667,25.7,13.26666667,29.48333333,29.11666667,1616.041857,145.3958333,415.5729167,332.4583333,99.7375,2993.20644,0,0,0,0.567,1.711,0.718,0.5,0.434,3.93
MLS Listing,Single Family Residential,24059 SE 262nd St,Maple Valley,WA,98038,410000,3,2.25,Maple Valley,1300,3780,2011,2,315,30,Active,NA,NA,http://www.redfin.com/WA/Maple-Valley/24059-SE-262nd-St-98038/home/22463856,NWMLS,1520527,47.3667715,-122.020485,27.46666667,31.73333333,43.31666667,21.91666667,32.41666667,31.73333333,1667.21613,150,427.0833333,341.6666667,102.5,2718.46613,2,1,0.25,2,1.258,0.008,0.497,0.39,7.403
MLS Listing,Single Family Residential,12431 2nd Pl SW,Seattle,WA,98146,375000,3,1,Burien,1010,7800,1941,2,371,0,Active,NA,NA,http://www.redfin.com/WA/Seattle/12431-2nd-Pl-SW-98146/home/169144303,NWMLS,1521753,47.4915943,-122.3363038,18.61666667,13.23333333,19.15,34.1,9.516666667,18.61666667,1505.125673,135.4166667,390.625,312.5,93.75,2437.417339,2,0,0.936,2,3.431,0.954,0.362,0.5,10.183
MLS Listing,Condo/Co-op,10501 8th Ave NE #412,Seattle,WA,98125,315000,1,1,Northgate,744,111839,1984,2,423,423,Active,NA,NA,http://www.redfin.com/WA/Seattle/10501-8th-Ave-NE-98125/unit-412/home/61445,NWMLS,1522352,47.7055354,-122.3212329,31.56666667,27.28333333,14.66666667,37.2,26.93333333,31.56666667,1227.256318,110.4166667,328.125,262.5,78.75,2430.047984,0,0,0.959,0.574,1.286,1,0.305,0.464,4.588
MLS Listing,Single Family Residential,3029 S 200th St,SeaTac,WA,98198,325000,3,1,Angle Lake,1390,7830,1956,2,234,0,Active,NA,NA,http://www.redfin.com/WA/SeaTac/3029-S-200th-St-98198/home/337141,NWMLS,1521319,47.4224627,-122.2934946,14.81666667,9.433333333,20.4,30.3,9.4,14.81666667,1273.567877,114.5833333,338.5416667,270.8333333,81.25,2078.77621,2,0,2.166,2,3.816,0.922,0.423,0.5,11.827
MLS Listing,Condo/Co-op,22121 41st Pl S #202,Kent,WA,98032,224500,1,1,Riverview,801,0,2000,2,280,391,Active,NA,NA,http://www.redfin.com/WA/Kent/22121-41st-Pl-S-98032/unit-202/home/17079077,NWMLS,1522244,47.4030959,-122.2820924,18.3,14.78333333,23.88333333,33.78333333,13.23333333,18.3,808.1367073,0,233.8541667,187.0833333,56.125,1676.199207,0,0,3.443,1.008,3.47,0.799,0.367,0.5,9.587
MLS Listing,Single Family Residential,18231 5th Ave S,Burien,WA,98166,449900,3,1.75,Manhattan,1592,9608,1969,2,283,0,Active,NA,NA,http://www.redfin.com/WA/Seattle/18231-5th-Ave-S-98148/home/339991,NWMLS,1521960,47.438734,-122.3279485,19.63333333,14.25,23.13333333,35.11666667,10.53333333,19.63333333,1851.999251,166.625,468.6458333,374.9166667,112.475,2974.661751,2,0.854,0.002,2,3.298,0.829,0.344,0.5,9.827
MLS Listing,Single Family Residential,20528 61st Pl W,Lynnwood,WA,98036,429950,3,1,Lynnwood,1105,8276,1958,2,389,0,Active,NA,NA,http://www.redfin.com/WA/Lynnwood/20528-61st-Pl-W-98036/home/2691736,NWMLS,1521364,47.8122276,-122.3164377,39.6,36.31666667,22.7,45.21666667,35.96666667,39.6,1759.60769,158.3125,447.8645833,358.2916667,107.4875,2831.56394,2,0,0.091,2,0.23,0.846,0.15,0.328,5.645
MLS Listing,Single Family Residential,24236 13 Ave S,Des Moines,WA,98198,385000,3,1.75,Des Moines,1090,7200,1967,2,353,0,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/24236-13th-Ave-S-98198/home/169143814,NWMLS,1517609,47.3838282,-122.3173099,21.68333333,16.3,27.26666667,37.16666667,18,21.68333333,1551.437232,139.5833333,401.0416667,320.8333333,96.25,2509.145565,2,0.854,0.728,2,2.997,0.641,0.305,0.5,10.025
MLS Listing,Condo/Co-op,12345 Roosevelt Way NE #402,Seattle,WA,98125,299922,1,1,Pinehurst,664,0,2000,2,452,262,Active,NA,NA,http://www.redfin.com/WA/Seattle/12345-Roosevelt-Way-NE-98125/unit-402/home/53530,NWMLS,1521885,47.7189409,-122.318573,30.51666667,27.23333333,13.61666667,36.15,26.9,30.51666667,1157.427749,104.1341667,312.41875,249.935,74.9805,2160.896165,0,0,1.871,0.124,1.465,1,0.324,0.464,5.248
MLS Listing,Single Family Residential,19821 4th Ave S,Des Moines,WA,98148,389000,3,1,North Hill,1130,8781,1953,2,344,0,Active,NA,NA,http://www.redfin.com/WA/Des-Moines/19821-4th-Ave-S-98148/home/338448,NWMLS,1521561,47.4241042,-122.3309178,20.61666667,15.21666667,24.76666667,36.08333333,11.4,20.61666667,1569.961855,141.25,405.2083333,324.1666667,97.25,2537.836855,2,0,0.65,2,3.159,0.761,0.326,0.5,9.396
MLS Listing,Single Family Residential,17315 47th Ave S,SeaTac,WA,98188,450000,3,1.5,McMicken Heights,1550,10822,1959,2,290,0,Active,NA,NA,http://www.redfin.com/WA/SeaTac/17315-47th-Ave-S-98188/home/194254,NWMLS,1520405,47.4484073,-122.2754284,15.83333333,10.85,21.85,31.31666667,6.933333333,15.83333333,1852.462366,166.6666667,468.75,375,112.5,2975.379033,2,0.5,0.002,2,3.732,0.877,0.408,0.5,10.019
